x,x,x,x,x
1,armor_1,PERKS_ARMOR_RANK1,PERKS_ARMOR_DESC1,1
2,armor_2,PERKS_ARMOR_RANK2,PERKS_ARMOR_DESC2,2
3,armor_3,PERKS_ARMOR_RANK3,PERKS_ARMOR_DESC3,3
4,armor_4,PERKS_ARMOR_RANK4,PERKS_ARMOR_DESC4,4
5,armor_5,PERKS_ARMOR_RANK5,PERKS_ARMOR_DESC5,5
6,armor_6,PERKS_ARMOR_RANK6,PERKS_ARMOR_DESC6,6
7,medikit_1,PERKS_MEDKIT_RANK1,PERKS_MEDKIT_DESC1,1
8,medikit_2,PERKS_MEDKIT_RANK2,PERKS_MEDKIT_DESC2,2
9,medikit_3,PERKS_MEDKIT_RANK3,PERKS_MEDKIT_DESC3,3
10,medikit_4,PERKS_MEDKIT_RANK4,PERKS_MEDKIT_DESC4,4
11,medikit_5,PERKS_MEDKIT_RANK5,PERKS_MEDKIT_DESC5,5
12,medikit_6,PERKS_MEDKIT_RANK6,PERKS_MEDKIT_DESC6,6
