name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage

# Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mp_spawn,,music/zmb_spawn.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
mp_defeat,,music/zmb_defeat.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
mp_victory,,music/zmb_victory.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,

# Radio - Default Songs
armada_seanprice_church,,music/armada_seanprice_church_cln.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_airlift_deploy,,music/HGW_Airlift_Deploy_v1.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_airlift_nuke,,music/HGW_Airlift_Nuke_v1.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_airlift_start,,music/HGW_Airlift_Start_v16.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
#hgw_airplane_alt,,music/HGW_Aireplane_alt_v2b.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_armada_start,,music/HGW_Armada_start_v10.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_blackout_hurry,,music/HGW_blackout_hurry.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
#hgw_boga_shantytown,,music/HGW_Shantytown_v5.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_boga_tankdefense,,music/HGW_BogA_Tankdefense_v1.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
#hgw_boga_victory,,music/HGW_Victory_v12.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_cargoship_escape,,music/HGW_Cargoship_Escape_v7.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_coup_intro,,music/HGW_Coup_Intro_v38.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
hgw_gameshell,,music/HGW_Gameshell_v10.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC
#hgw_icbm_tension,,music/HGW_ICBM_zension2_v18.mp3,0.5,,music,,,,,music,streamed,,,,,,,,,,music,nowetlevel fulldrylevel,,,!PC

# Radio - Custom Songs
radio_track_0,,music/radio/track0.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_1,,music/radio/track1.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_2,,music/radio/track2.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_3,,music/radio/track3.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_4,,music/radio/track4.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_5,,music/radio/track5.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_6,,music/radio/track6.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_7,,music/radio/track7.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_8,,music/radio/track8.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_9,,music/radio/track9.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_10,,music/radio/track10.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_11,,music/radio/track11.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_12,,music/radio/track12.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_13,,music/radio/track13.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_14,,music/radio/track14.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_15,,music/radio/track15.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_16,,music/radio/track16.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_17,,music/radio/track17.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_18,,music/radio/track18.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
radio_track_19,,music/radio/track19.mp3,0.6,,music,,,,,music,streamed,,,,all_mp,,,,,,music,nowetlevel fulldrylevel,,,!PC,,,
